ID,Name,Description,Creator,Contributor,Citation,Source,DOI,Version
kraftchadic,kraftchadic,"CLDF dataset derived from Kraft's ""Chadic Wordlists"" from 1981","Kraft, Charles H.",Johann-Mattis List,"Kraft, Charles H. 1981. Chadic wordlists. Berlin: Dietrich Reimer.",kraftchadic,10.5281/zenodo.13832124,v4.1
lairgyalrong,lairgyalrong,"CLDF dataset derived from Lai and List's ""Comparison of Rgyalrongic Languages"" from 2023",Yunfan Lai AND Johann-Mattis List,Johann-Mattis List,"Lai, Yunfan and List, Johann-Mattis (2023): Lexical Data for the Historical Comparison of Rgyalrongic Languages [Dataset, Version 1.0]. Leipzig: Max Planck Institute for Evolutionary Anthropology.",lairgyalrong,10.5281/zenodo.14001762,v0.4
lamanisoic,lamanisoic,"CLDF dataset derived from Lama's ""Subgrouping of Nisoic (Yi) Languages"" from 2012","Lama, Ziwo Q.-F.",Johann-Mattis List,"Lama, Ziwo Q.-F. (2012). Subgrouping of Nisoic (Yi) Languages: A Study from the Perspectives of Shared Innovation and Phylogenetic Estimation. Ph.D. Thesis. The University of Texas at Arlington.",lamanisoic,10.5281/zenodo.13169526,v1.1
leecaijia,leecaijia,"CLDF dataset derived from Lee's ""Phonological Features of Caijia"" from 2022",Uday Raj Aaley AND Timotheus A. Bodt,Johann-Mattis List,"Lee, Man Hei (2022): Phonological features of Caijia that are notable from a diachronic perspective. Journal of Historical Linguistics. DOI: https://doi.org/10.1075/jhl.21025.lee",leecaijia,10.5281/zenodo.13253594,v1.0
leejaponic,leejaponic,"CLDF dataset derived from Lee and Hasegawa's ""Bayesian phylogenetic analysis supports an agricultural origin of Japonic languages"" from 2011",Sean Lee AND Toshikazu Hasegawa,Christoph Rzymski,"Lee, Sean and Hasegawa, Toshikazu (2011). Bayesian phylogenetic analysis supports an agricultural origin of Japonic languages. Proceedings of the Royal Society B: Biological Sciences, 278(1725), 3662–3669. doi:10.1098/rspb.2011.0518.",leejaponic,10.5281/zenodo.13254646,v1.1
leekoreanic,leekoreanic,"CLDF dataset derived from Lee's ""Sketch of Language History in the Korean Peninsula"" from 2015",Sean Lee,Simon J. Greenhill AND Christoph Rzymski,"Lee, Sean (2015). A Sketch of Language History in the Korean Peninsula. PLoS ONE 10(5): e0128448. doi:10.1371/journal.pone.0128448",leekoreanic,10.5281/zenodo.13254649,v1.1
lindseyende,lindseyende,Ende (Papua New Guinea) IDS wordlist by Kate Lynn Lindsey,Kate Lynn Lindsey,Frederic Blum,"Kate Lynn Lindsey. 2020. Ende (Papua New Guinea) dictionary. In: Key, Mary Ritchie &amp; Comrie, Bernard (eds.) The Intercontinental Dictionary Series. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://ids.clld.org/)",lindseyende,10.5281/zenodo.13254739,v2.2
listsamplesize,listsamplesize,"CLDF Dataset derived from List's ""Sample Size and Cognate Detection"" from 2014",Johann-Mattis List,Johann-Mattis List,"List, Johann-Mattis (2014): Investigating the impact of sample size on cognate detection. Journal of Language Relationship. 11. 91-102. DOI: https://doi.org/10.31826/jlr-2014-110111",listsamplesize,10.5281/zenodo.13169429,v1.1
luangthongkumkaren,luangthongkumkaren,"CLDF dataset derived from Luangthongkum's ""Proto-Karen Phonology and Lexicon"" from 2019","Luangthongkum, Theraphan",Johann-Mattis List,"Luangthongkum, Theraphan (2019). A View on Proto-Karen Phonology and Lexicon, Journal of Southest Asian Linguistics Society, 12.1, i-lii. doi: http://hdl.handle.net/10524/52441",luangthongkumkaren,10.5281/zenodo.13254728,v1.1
lundgrenomagoa,lundgrenomagoa,"CLDF dataset derived from Lundgren's ""Phonological Reconstruction of Proto-Omagua-Kokama-Tupinambá"" from 2020",Olof Lundgren,Johann-Mattis List,"Lundgren, Olof (2020): A phonological reconstruction of Proto-Omagua-Kokama-Tupinambá. Master&#x27;s thesis. Lund: Lund University.",lundgrenomagoa,10.5281/zenodo.13319013,v1.1
mannburmish,mannburmish,"CLDF dataset derived from Mann's ""Phonological Reconstruction of Proto Northern Burmic"" from 1998",Noel Walter Mann,Johann-Mattis List,"Mann, Noel W. 1998. A phonological reconstruction of Proto Northern Burmic. (PhD Thesis).",mannburmish,10.5281/zenodo.13235497,v1.3
marrisonnaga,marrisonnaga,"CLDF dataset derived from Marrison's ""Naga Languages of North-East India"" from 1967",Geoffrey E. Marrison,Johann-Mattis List,"Marrison, Geoffrey Edward (1967) : The classification of the Naga languages of North-East India. London: School of African and Oriental Sciences.",marrisonnaga,10.5281/zenodo.13235510,v3.1
mitterhoferbena,mitterhoferbena,"CLDF dataset derived from Mitterhofer's ""Dialect Survey of Bena"" from 2013",Bernadette Mitterhofer,Johann-Mattis List AND Christoph Rzymski,"Mitterhofer, Bernadette. 2013. Lessons from a dialect survey of Bena: Analyzing wordlists. SIL International.",mitterhoferbena,10.5281/zenodo.13235478,v3.1
mixtecansubgrouping,mixtecansubgrouping,"CLDF dataset accompanying Auderset et al.'s ""Subgrouping in a dialect continuum"" from 2023",Sandra Auderset AND Simon J. Greenhill,Johann-Mattis List AND Johannes English AND Christoph Rzymski AND Simon J. Greenhill,"Auderset, Sandra, Simon J. Greenhill, Christian T. DiCanio, Eric W. Campbell. (2023) &quot;Subgrouping in a `dialect continuum&#x27;: A Bayesian phylogenetic analysis of the Mixtecan language family&quot;. Journal of Language Evolution 8 (1). 33–-63. DOI: https://doi.org/10.1093/jole/lzad004.",mixtecansubgrouping,10.5281/zenodo.14001610,v0.4
naganorgyalrongic,naganorgyalrongic,"CLDF dataset derived from Nagano and Prins' ""rGyalrongic Languages Database"" from 2013",Yasuhiko Nagano AND Marielle Prins,Johann-Mattis List,"Nagano, Yasuhiko and Prins, Marielle (2013): rGyalrongic Languages Database. Osaka: National Museum of Ethnology.",naganorgyalrongic,10.5281/zenodo.13220621,v3.1
northeuralex,northeuralex,"CLDF dataset derived from Dellert et al.'s ""NorthEuraLex (Version 0.9)"" from 2020",Johannes Dellert,Johann-Mattis List AND Robert Forkel,"Dellert, J., Daneyko, T., Münch, A. et al (2020). NorthEuraLex (Version 0.9). Lang Resources and Evaluation. https://doi.org/10.1007/s10579-019-09480-6",northeuralex,10.5281/zenodo.13269523,v4.1
northperulex,northperulex,"CLDF dataset derived from Barrientos et al.'s ""NorthPeruLex - A Lexical Dataset of Small Language Families and Isolates from Northern Peru (forthcoming).",Carlos Barrientos AND Frederic Blum AND Adriano Ingunza AND Rosa Gonzales AND Jaime Peña,Carlos Barrientos AND Frederic Blum,"Barrientos, Carlos and Blum, Frederic and Ingunza, Adriano and Gonzales, Rosa and Peña, Jaime. Forthcoming. NorthPeruLex - A Lexical Dataset of Small Language Families and Isolates from Northern Peru.",northperulex,10.5281/zenodo.13269803,v0.1
oskolskayatungusic,oskolskayatungusic,"CLDF dataset derived from Oskolskaya et al.'s ""A Bayesian approach to the classification of Tungusic languages"" from 2021",Sofia Oskolskaya AND Ezequiel Koile AND Martine Robbeets,Simon Greenhill,"Oskolskaya, S., Koile, E., &amp; Robbeets, M. (2021). A Bayesian approach to the classification of Tungusic languages. Diachronica, 39(1), 128–158. https://doi.org/10.1075/dia.20010.osk",oskolskayatungusic,10.5281/zenodo.13163376,v1.1
othanieljen,othanieljen,"CLDF dataset derived from Othaniel's ""Jen Cluster Comparative Wordlist"" from 2017",Nlabephee Kefas Othaniel,Kristina-Pianykh AND Christoph Rzymski AND Johann-Mattis List,"Othaniel, Nlabephee Kefas. 2017. A phonological comparative study of the Jen language cluster. (MA thesis, Jos: Theological College of Northern Nigeria; 1–83pp.)",othanieljen,10.5281/zenodo.13829625,v1.2
polyglottaafricana,polyglottaafricana,"CLDF dataset derived from Koelle's ""Polyglotta Africana"" from 1854",Sigismund Koelle,Guillaume Segerer AND Robert Forkel AND Johann-Mattis List,"Koelle, Sigismund W. (1854). Polyglotta Africana or Comparative Vocabulary of Nearly Three Hundred Words and Phrases in more than One Hundred Distinct African Languages. London: Church Missionary House.",polyglottaafricana,10.5281/zenodo.13221020,v2.1
robbeetstriangulation,robbeetstriangulation,"CLDF dataset derived from Robbeets et al.'s ""Triangulation of Transeurasian Languages"" from 2021",Martine Robbeets,,"Robbeets, M., Bouckaert, R., Conte, M. et al. Triangulation supports agricultural spread of the Transeurasian languages. Nature 599, 616–621 (2021). https://doi.org/10.1038/s41586-021-04108-8",robbeetstriangulation,10.5281/zenodo.14506169,v0.2
robinsonap,robinsonap,"CLDF dataset derived from Robinson and Holton's ""Internal Classification of the Alor-Pantar Language Family"" from 2012","Robinson, Laura C. AND Holton, Gary",Christoph Rzymski AND Johann-Mattis List,"Robinson, Laura C. and Holton, Gary (2012): Internal Classification of the Alor-Pantar Language Family Using Computational Methods Applied to the Lexicon. Language Dynamics and Change 2.2. 123-149.",robinsonap,10.5281/zenodo.13163515,v4.1
servamalagasy,servamalagasy,"CLDF dataset derived from Serva's ""Dialects of Madagascar"" from 2020",Maurizio Serva AND Michele Pasquini,Johann-Mattis List,"Serva M., Pasquini M. (2020): Dialects of Madagascar, PLoS ONE 15(10).",servamalagasy,10.5281/zenodo.13168397,v1.1
sohartmannchin,sohartmannchin,"CLDF dataset derived from So-Hartmann's ""Notes on the Southern Chin Languages"" from 1988",Helga So-Hartmann,Johann-Mattis List,"So-Hartmann, Helga (1988): Notes on the Southern Chin Languages. Linguistics of the Tibeto-Burman Area 11.2: 98-119.",sohartmannchin,10.5281/zenodo.13163647,v3.1
spagnolmaltese,spagnolmaltese,Maltese IDS wordlist by Michael Spagnol and Bernard Comrie,Michael Spagnol AND Bernard Comrie AND Hans-Jörg Bibiko,Robert Forkel,"Michael Spagnol and Bernard Comrie. 2020. Maltese dictionary. In: Key, Mary Ritchie &amp; Comrie, Bernard (eds.) The Intercontinental Dictionary Series. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at http://ids.clld.org/)",spagnolmaltese,10.5281/zenodo.14505927,v1.1
suntb,suntb,"CLDF dataset derived from Sūn's ""Tibeto-Burman Phonology and Lexicon"" from 1991","Sūn, Hóngkāi",Johann-Mattis List,"Sūn, Hóngkāi 孙宏开 (1991): Zangmianyu yuyin he cihui 藏缅语音和词汇 [Tibeto-Burman phonology and lexicon]. Beijing: Chinese Social Sciences Press.",suntb,10.5281/zenodo.13304824,v4.1
tls,tls,"CLDF dataset derived from Nurse and Philippson's ""Tanzania Language Survey"" from 1975",Derek Nurse AND Gerard Philippson,Johann-Mattis List AND Christoph Rzymski,"Nurse, Derek and Gérard Philippson (1975). The Tanzanian Language Survey. Department of Foreign Languages and Linguistics of the University of Dar es Salaam: Dar es Salaam.",tls,10.5281/zenodo.13163463,v4.2
transnewguineaorg,transnewguineaorg,"CLDF dataset derived from Greenhill's ""TransNewGuinea.org"" from 2015",Simon J. Greenhill,Simon J. Greenhill,"Greenhill, Simon J. (2015): TransNewGuinea.org: An Online Database of New Guinea Languages. PLoS ONE 10.10: e0141563.",transnewguineaorg,10.5281/zenodo.14162587,v3.2
tuled,tuled,TuLeD. Tupían Lexical Database,Fabrício Ferraz Gerardi AND Stanislav Reichert AND Carolina Aragon AND Tim Wientzek AND Johann-Mattis List AND Robert Forkel,,"Fabrício Ferraz Gerardi, Stanislav Reichert, Carolina Aragon, Johann-Mattis List, &amp; Tim Wientzek. (2021). TuLeD: Tupían lexical database. Max Planck Institute for Evolutionary Anthropology: Leipzig",tuled,10.5281/zenodo.6572576,v0.12
vanuatuvoices,vanuatuvoices,Vanuatu Voices,Lana Takau AND Mary Walworth AND Aviva Shimelman AND Sandrine Bessis AND Tom Ennever AND Iveth Rodriguez AND Hans-Jörg Bibiko AND Daria Dërmaku AND Murray Garde AND Marie-France Duhamel AND Giovanni Abete AND Laura Wägerle AND Kaitip W. Kami AND Russell Gray,,,vanuatuvoices,10.5281/zenodo.10821732,v1.1
visserkalamang,visserkalamang,Kalamang IDS wordlist by Eline Visser,Eline Visser,Hans-Jörg Bibiko,"Eline Visser. 2021. Kalamang dictionary. In: Key, Mary Ritchie &amp; Comrie, Bernard (eds.) The Intercontinental Dictionary Series. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://ids.clld.org/)",visserkalamang,10.5281/zenodo.13220870,v2.2
walworthpolynesian,walworthpolynesian,"CLDF dataset derived from Walworth's ""Polynesian Segmented Data"" from 2018",Mary Walworth,Johann-Mattis List,"Walworth, Mary. (2018). Polynesian Segmented Data (Version 1) [Data set]. Zenodo. http://doi.org/10.5281/zenodo.1689909",walworthpolynesian,10.5281/zenodo.13218906,v1.1
wangbai,wangbai,"CLDF dataset derived from Wang's ""Language Contact and Language Comparison"" from 2004","Wang, Feng",Johann-Mattis List,"Wang, Feng (2004): Language contact and language comparison. The case of Bai. PhD thesis. Hong Kong: City University of Hong Kong.",wangbai,10.5281/zenodo.13163051,v1.1
wold,wold,"CLDF dataset derived from Haspelmath and Tadmor's ""World Loanword Database"" from 2009",Martin Haspelmath AND Uri Tadmor,Robert Forkel AND Johann-Mattis List,"Haspelmath, Martin &amp; Tadmor, Uri (eds.) 2009. World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at http://wold.clld.org)",wold,10.5281/zenodo.13861321,v4.1
yanglalo,yanglalo,"CLDF dataset derived from Yang's ""Lalo Regional Varieties"" from 2011",Cathryn Yang,Johann-Mattis List,"Yang, Cathryn (2011): Lalo regional varieties: Phylogeny, dialectometry and sociolinguistics. Bundoora: La Trobe University.",yanglalo,10.5281/zenodo.13306849,v4.0
yangyi,yangyi,"CLDF dataset accompanying Yang's ""Phonetic Tone Change"" from 2022",Cathryn Yang,Johann-Mattis List,"Yang, Cathryn (2022): The phonetic tone change *high &gt; rising: Evidence from the Ngwi dialect laboratory. Diachronica. DOI: https://doi.org/10.1075/dia.19062.yan",yangyi,10.5281/zenodo.13220883,v1.3
yuchinese,yuchinese,Mandarin Chinese IDS wordlist by Hsiao-jung Yu and Yifan Wang,Hsiao-jung Yu AND Yifan Wang,Hans-Jörg Bibiko,"Hsiao-jung Yu and Yifan Wang. 2021. Mandarin Chinese dictionary. In: Key, Mary Ritchie &amp; Comrie, Bernard (eds.) The Intercontinental Dictionary Series. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://ids.clld.org/)",yuchinese,10.5281/zenodo.13284157,v2.1
zgraggenmadang,zgraggenmadang,"CLDF dataset derived from Z'graggen's ""Madang Comparative Wordlists"" from 1980",John Anton Z'graggen,Mattis List AND Simon J. Greenhill,"Z&#x27;graggen, J A. (1980) A comparative word list of the Northern Adelbert Range Languages, Madang Province, Papua New Guinea. Canberra: Pacific Linguistics.",zgraggenmadang,10.5281/zenodo.13163448,v4.1
zhoubizic,zhoubizic,"CLDF dataset derived from Zhou's ""Proto-Bizic"" from 2020","Zhou, Yulou",Johann-Mattis List,"Zhou, Yulou (2020): Proto-Bizic. A study of Tujia historical phonology. Bachelor Thesis. Stanford University.",zhoubizic,10.5281/zenodo.13168188,v1.2
